unitno,modelid,evalcode,oiladded,oilhours,actual_fluid_hours,meterread,oilchanged,dateReported,Confirmed,Problem Solved,Action Taken,PQI,Fe,Cu,Cr,Pb,Sn,Ni,Al,Si,Na,K,Mo,B,Ba,Mg,Ca,Zn,P,Ag,Mn,V,Ti,Cd,W,H2O,F,PFc,V40,TBN,ST,OXI,NIT,SUL,ISO6,ISO14,6�,10�,14�,21�,25�,38�,70�
TKD0261,793B,A,0,252,252,82024,TRUE,14-Jun-12,FALSE,FALSE,FALSE,0,15,3,<1,<1,<1,<1,1,3,10,9,1,1,<1,12,2295,973,848,<1,<1,<1,<1,<1,N,0,N,-,105.2,8.5,20,12,6,19,,,,,,,,,
TKD0261,793B,B,0,264,264,81772,TRUE,30-May-12,TRUE,FALSE,FALSE,0,14,4,<1,<1,<1,<1,2,3,11,12,1,1,<1,13,2418,1016,923,<1,<1,<1,<1,<1,N,0,N,-,105.5,8.5,19,12,6,20,,,,,,,,,
TKD0261,793B,B,0,264,264,81508,TRUE,15-May-12,TRUE,FALSE,FALSE,0,14,2,<1,<1,<1,<1,2,3,11,15,2,<1,<1,14,2296,1006,880,<1,<1,<1,<1,<1,N,0,N,-,105.3,9,17,13,6,20,,,,,,,,,
TKD0261,793B,B,0,262,262,81244,TRUE,5-May-12,TRUE,FALSE,FALSE,0,15,4,<1,<1,<1,<1,2,8,33,83,9,3,<1,8,2118,918,785,<1,<1,<1,<1,<1,N,0,N,-,102.2,8.9,14,12,5,18,,,,,,,,,
TKD0261,793B,B,190,520,520,80982,TRUE,12-Apr-12,TRUE,FALSE,FALSE,1,17,2,<1,<1,<1,<1,2,4,24,55,5,2,<1,9,2208,945,784,<1,<1,<1,<1,<1,N,0,N,-,113.6,8.9,25,14,7,21,,,,,,,,,
TKD0261,793B,B,0,289,289,80751,FALSE,30-Mar-12,TRUE,FALSE,FALSE,2,23,2,<1,2,<1,<1,2,5,16,35,3,3,<1,11,2455,1042,903,<1,<1,<1,<1,<1,N,0,N,-,110.3,8.7,26,11,6,19,,,,,,,,,
TKD0261,793B,B,0,276,276,80462,TRUE,1-Mar-12,TRUE,FALSE,FALSE,0,19,3,1,<1,<1,1,2,6,22,48,6,3,<1,12,2207,959,832,<1,<1,<1,<1,<1,N,0,N,-,111.4,9.3,29,12,6,19,,,,,,,,,
TKD0261,793B,A,190,244,244,80186,TRUE,17-Feb-12,TRUE,FALSE,FALSE,1,14,2,<1,<1,<1,<1,2,2,6,9,3,3,<1,44,2195,951,854,<1,<1,<1,<1,<1,N,0,N,-,113.4,9.6,20,13,6,20,,,,,,,,,
TKD0261,793B,A,0,214,214,79942,TRUE,8-Feb-12,TRUE,FALSE,FALSE,3,16,1,<1,<1,<1,<1,2,3,5,5,<1,2,<1,13,2314,991,888,<1,<1,<1,<1,<1,N,0,N,-,110.6,9.5,23,12,6,20,,,,,,,,,
