Interger,Float,Day,Boolean,Sci,Identifier
1,1,Monday,TRUE,5.60E+06,s5s1a5s2
2,6.5,Tuesday,FALSE,5.10E+06,6d5d2d4s
3,3.3,Wednesday,TRUE,4.80E+06,5f12f1d5d
2,5.2,Thursday,FALSE,8.00E-07,d35f2d3s
5,4.3,Friday,TRUE,-8.50E+08,3d23f23d
5,6.5,Saturday,rtue,1.00E+00,2451361f
2,7.3,Sunday,FALSE,-5.6562,fssefefe0
5,5.2,Monday,FALSE,5.00E+02,000sd6f4
6,5.2,Tuesday,TRUE,3.80E+06,dfg6d54f
5,4.1,Wednesday,FALSE,5.09E+06,fdg455df
2,1.5,Thursday,TRUE,-8.50E+05,545g54fd
2,6.4,Friday,FALSE,5.30E-06,0154f4g4
5,5.5,Saturday,TRUE,5e-99355,fdg55
5,19.2,Sunday,FALSE,50000,f54g6d54
9,16.5,Friiday,TRUE,6.00E+59,21321510
8,13.3,Tuesday,FALSE,6.50E+02,f64g45f2
5,2,Wednesday,TRUE,6.30E+05,6w54t5we
5,433.3,Thursday,FALSE,8.50E+06,rt56t6r2f
2,1.1,Friday,TRUE,-1.00E-65,f3f2g36r
0.3,1.1,Saturday,FALSE,5.20E+07,5fgf2f55
6,2.7,Sunday,TRUE,8.00E+06,fd3f6f26
5,3.3,Monday,FALSE,7.80E-06,f545g5g4
2,4.5,Tuesday,TRUE,8.00E+05,fg6f65f6f
1.4,5.6,Wednesday,FALSE,4.00E+06,f4g45f45f
